Name,Stock Count,Market Cap,atag,link
Internet Services,10,$0.351T,/stocks/industry/213/internet-services,https://www.macrotrends.net//stocks/industry/213/internet-services
Mining - Miscellaneous,24,$0.351T,/stocks/industry/116/mining---miscellaneous,https://www.macrotrends.net//stocks/industry/116/mining---miscellaneous
Media Conglomerates,3,$0.348T,/stocks/industry/208/media-conglomerates,https://www.macrotrends.net//stocks/industry/208/media-conglomerates
Transportation - Rail,6,$0.344T,/stocks/industry/189/transportation---rail,https://www.macrotrends.net//stocks/industry/189/transportation---rail
Tobacco Products,7,$0.331T,/stocks/industry/183/tobacco-products,https://www.macrotrends.net//stocks/industry/183/tobacco-products
Other Alternate Energy,19,$0.328T,/stocks/industry/273/other-alternate-energy,https://www.macrotrends.net//stocks/industry/273/other-alternate-energy
Finance - Investment Management,36,$0.327T,/stocks/industry/63/finance---investment-management,https://www.macrotrends.net//stocks/industry/63/finance---investment-management
General Industrial Machinery,25,$0.324T,/stocks/industry/99/general-industrial-machinery,https://www.macrotrends.net//stocks/industry/99/general-industrial-machinery
Chemicals - Diversified,25,$0.302T,/stocks/industry/34/chemicals---diversified,https://www.macrotrends.net//stocks/industry/34/chemicals---diversified
Retail - Discount & Variety,5,$0.276T,/stocks/industry/158/retail---discount-variety,https://www.macrotrends.net//stocks/industry/158/retail---discount-variety
Shoes & Related Apparel,6,$0.262T,/stocks/industry/173/shoes-related-apparel,https://www.macrotrends.net//stocks/industry/173/shoes-related-apparel
Oil & Gas - Field Services,20,$0.259T,/stocks/industry/131/oil-gas----field-services,https://www.macrotrends.net//stocks/industry/131/oil-gas----field-services
Aerospace and Defense Equipment,17,$0.258T,/stocks/industry/3/aerospace-and-defense-equipment,https://www.macrotrends.net//stocks/industry/3/aerospace-and-defense-equipment
Consulting Services,7,$0.255T,/stocks/industry/277/consulting-services,https://www.macrotrends.net//stocks/industry/277/consulting-services
REIT - Residential Equity Trusts,23,$0.244T,/stocks/industry/265/reit---residential-equity-trusts,https://www.macrotrends.net//stocks/industry/265/reit---residential-equity-trusts
Food Items - Miscellaneous/Diversified,23,$0.239T,/stocks/industry/76/food-items---miscellaneous-diversified,https://www.macrotrends.net//stocks/industry/76/food-items---miscellaneous-diversified
Transportation - Air Freight,4,$0.233T,/stocks/industry/186/transportation---air-freight,https://www.macrotrends.net//stocks/industry/186/transportation---air-freight
Medical & Dental Supplies,9,$0.232T,/stocks/industry/113/medical-dental-supplies,https://www.macrotrends.net//stocks/industry/113/medical-dental-supplies
Electrical Machinery,11,$0.225T,/stocks/industry/97/electrical-machinery,https://www.macrotrends.net//stocks/industry/97/electrical-machinery
Business Information Services,7,$0.221T,/stocks/industry/206/business-information-services,https://www.macrotrends.net//stocks/industry/206/business-information-services
Emerging Markets Integrated,5,$0.219T,/stocks/industry/223/emerging-markets-integrated,https://www.macrotrends.net//stocks/industry/223/emerging-markets-integrated
Oil & Gas - Production and Pipelines,10,$0.209T,/stocks/industry/135/oil-gas---production-and-pipelines,https://www.macrotrends.net//stocks/industry/135/oil-gas---production-and-pipelines
Insurance Brokers,6,$0.200T,/stocks/industry/86/insurance-brokers,https://www.macrotrends.net//stocks/industry/86/insurance-brokers
Oil & Gas - US Exploration and Production,30,$0.200T,/stocks/industry/136/oil-gas---us-exploration-and-production,https://www.macrotrends.net//stocks/industry/136/oil-gas---us-exploration-and-production
Medical - Biomedical and Genetics,14,$0.193T,/stocks/industry/105/medical---biomedical-and-genetics,https://www.macrotrends.net//stocks/industry/105/medical---biomedical-and-genetics
Medical - Drug Manufacturing,12,$0.190T,/stocks/industry/106/medical---drug-manufacturing,https://www.macrotrends.net//stocks/industry/106/medical---drug-manufacturing
Building & Construction Products - Misc.,20,$0.179T,/stocks/industry/21/building-construction-products---misc,https://www.macrotrends.net//stocks/industry/21/building-construction-products---misc
Waste Removal Services,8,$0.174T,/stocks/industry/287/waste-removal-services,https://www.macrotrends.net//stocks/industry/287/waste-removal-services
Diversified Communication Services,7,$0.172T,/stocks/industry/232/diversified-communication-services,https://www.macrotrends.net//stocks/industry/232/diversified-communication-services
Oil & Gas - US Integrated,12,$0.164T,/stocks/industry/137/oil-gas---us-integrated,https://www.macrotrends.net//stocks/industry/137/oil-gas---us-integrated
Real Estate Operations,18,$0.164T,/stocks/industry/153/real-estate-operations,https://www.macrotrends.net//stocks/industry/153/real-estate-operations
Life Insurance Providers,11,$0.164T,/stocks/industry/87/life-insurance-providers,https://www.macrotrends.net//stocks/industry/87/life-insurance-providers
Medical Services,14,$0.162T,/stocks/industry/285/medical-services,https://www.macrotrends.net//stocks/industry/285/medical-services
Finance - Consumer Loands,13,$0.161T,/stocks/industry/61/finance---consumer-loands,https://www.macrotrends.net//stocks/industry/61/finance---consumer-loands
Auto Manufacturers - Domestic,9,$0.160T,/stocks/industry/7/auto-manufacturers---domestic,https://www.macrotrends.net//stocks/industry/7/auto-manufacturers---domestic
Leisure & Recreation Services,25,$0.159T,/stocks/industry/92/leisure-recreation-services,https://www.macrotrends.net//stocks/industry/92/leisure-recreation-services
Consumer Products - Misc. Discretionary,17,$0.156T,/stocks/industry/207/consumer-products---misc-discretionary,https://www.macrotrends.net//stocks/industry/207/consumer-products---misc-discretionary
Audio & Video Home Production,3,$0.153T,/stocks/industry/6/audio-video-home-production,https://www.macrotrends.net//stocks/industry/6/audio-video-home-production
Chemicals - Specialty,23,$0.153T,/stocks/industry/37/chemicals---specialty,https://www.macrotrends.net//stocks/industry/37/chemicals---specialty
Auto & Truck Original Equipment Manufacturers,30,$0.150T,/stocks/industry/10/auto-truck-original-equipment-manufacturers,https://www.macrotrends.net//stocks/industry/10/auto-truck-original-equipment-manufacturers
Business Software Services,6,$0.150T,/stocks/industry/216/business-software-services,https://www.macrotrends.net//stocks/industry/216/business-software-services
