Name,Stock Count,Market Cap,atag,link
Transportation - Shipping,32,$0.030T,/stocks/industry/190/transportation---shipping,https://www.macrotrends.net//stocks/industry/190/transportation---shipping
Electrical Power,2,$0.029T,/stocks/industry/254/electrical-power,https://www.macrotrends.net//stocks/industry/254/electrical-power
Computer - Services,2,$0.029T,/stocks/industry/43/computer---services,https://www.macrotrends.net//stocks/industry/43/computer---services
Schools,17,$0.028T,/stocks/industry/172/schools,https://www.macrotrends.net//stocks/industry/172/schools
Office Automation & Equipment,2,$0.027T,/stocks/industry/124/office-automation-equipment,https://www.macrotrends.net//stocks/industry/124/office-automation-equipment
Medical Information Systems,9,$0.027T,/stocks/industry/215/medical-information-systems,https://www.macrotrends.net//stocks/industry/215/medical-information-systems
Staffing Services,5,$0.027T,/stocks/industry/278/staffing-services,https://www.macrotrends.net//stocks/industry/278/staffing-services
Banks - Southwest,5,$0.026T,/stocks/industry/17/banks---southwest,https://www.macrotrends.net//stocks/industry/17/banks---southwest
Consumer Products - Miscellaneous Staples,10,$0.024T,/stocks/industry/289/consumer-products---miscellaneous-staples,https://www.macrotrends.net//stocks/industry/289/consumer-products---miscellaneous-staples
Metal Production & Distribution,4,$0.024T,/stocks/industry/120/metal-production-distribution,https://www.macrotrends.net//stocks/industry/120/metal-production-distribution
Building - Maintenance and Services,3,$0.022T,/stocks/industry/29/building---maintenance-and-services,https://www.macrotrends.net//stocks/industry/29/building---maintenance-and-services
Auto & Truck Replacement Parts,4,$0.022T,/stocks/industry/11/auto-truck-replacement-parts,https://www.macrotrends.net//stocks/industry/11/auto-truck-replacement-parts
Tools - Hand Held,3,$0.022T,/stocks/industry/184/tools---hand-held,https://www.macrotrends.net//stocks/industry/184/tools---hand-held
Finance - Mortgages and Related Services,14,$0.021T,/stocks/industry/65/finance---mortgages-and-related-services,https://www.macrotrends.net//stocks/industry/65/finance---mortgages-and-related-services
Internet Services - Delivery,4,$0.021T,/stocks/industry/219/internet-services---delivery,https://www.macrotrends.net//stocks/industry/219/internet-services---delivery
Banks - Northeast,9,$0.021T,/stocks/industry/15/banks---northeast,https://www.macrotrends.net//stocks/industry/15/banks---northeast
Broadcasting - Radio & TV,9,$0.021T,/stocks/industry/32/broadcasting---radio-tv,https://www.macrotrends.net//stocks/industry/32/broadcasting---radio-tv
Steel - Pipe & Tubes,4,$0.020T,/stocks/industry/175/steel---pipe-tubes,https://www.macrotrends.net//stocks/industry/175/steel---pipe-tubes
Retail - Regional Department Stores,3,$0.020T,/stocks/industry/166/retail---regional-department-stores,https://www.macrotrends.net//stocks/industry/166/retail---regional-department-stores
Agricultural Products,3,$0.020T,/stocks/industry/275/agricultural-products,https://www.macrotrends.net//stocks/industry/275/agricultural-products
Office Supplies and Forms,3,$0.019T,/stocks/industry/125/office-supplies-and-forms,https://www.macrotrends.net//stocks/industry/125/office-supplies-and-forms
Control Instruments Manufacturing,4,$0.018T,/stocks/industry/83/control-instruments-manufacturing,https://www.macrotrends.net//stocks/industry/83/control-instruments-manufacturing
Household Appliances,4,$0.018T,/stocks/industry/5/household-appliances,https://www.macrotrends.net//stocks/industry/5/household-appliances
Building - Heavy Construction,7,$0.018T,/stocks/industry/28/building---heavy-construction,https://www.macrotrends.net//stocks/industry/28/building---heavy-construction
Thermal Processing Machinery,2,$0.018T,/stocks/industry/102/thermal-processing-machinery,https://www.macrotrends.net//stocks/industry/102/thermal-processing-machinery
Business Services,11,$0.017T,/stocks/industry/205/business-services,https://www.macrotrends.net//stocks/industry/205/business-services
Finance - SBIC & Commercial,10,$0.016T,/stocks/industry/68/finance---sbic-commercial,https://www.macrotrends.net//stocks/industry/68/finance---sbic-commercial
Government Services,2,$0.016T,/stocks/industry/284/government-services,https://www.macrotrends.net//stocks/industry/284/government-services
Computer Storage Devices,2,$0.014T,/stocks/industry/202/computer-storage-devices,https://www.macrotrends.net//stocks/industry/202/computer-storage-devices
Electronics Parts Distribution,2,$0.014T,/stocks/industry/54/electronics-parts-distribution,https://www.macrotrends.net//stocks/industry/54/electronics-parts-distribution
Metal Processing & Fabrication,7,$0.014T,/stocks/industry/119/metal-processing-fabrication,https://www.macrotrends.net//stocks/industry/119/metal-processing-fabrication
Chemicals - Plastics,3,$0.014T,/stocks/industry/36/chemicals---plastics,https://www.macrotrends.net//stocks/industry/36/chemicals---plastics
Funeral Services,3,$0.014T,/stocks/industry/78/funeral-services,https://www.macrotrends.net//stocks/industry/78/funeral-services
Textile - Home Furnishings,2,$0.013T,/stocks/industry/181/textile---home-furnishings,https://www.macrotrends.net//stocks/industry/181/textile---home-furnishings
Movie & TV Production and Distribution,5,$0.012T,/stocks/industry/122/movie-tv-production-and-distribution,https://www.macrotrends.net//stocks/industry/122/movie-tv-production-and-distribution
Building - Mobile Home & RV Manufacturing,3,$0.012T,/stocks/industry/30/building---mobile-home-rv-manufacturing,https://www.macrotrends.net//stocks/industry/30/building---mobile-home-rv-manufacturing
Real Estate Development,9,$0.012T,/stocks/industry/152/real-estate-development,https://www.macrotrends.net//stocks/industry/152/real-estate-development
Electrical Manufacturing Services (EMS),3,$0.011T,/stocks/industry/261/electrical-manufacturing-services-ems,https://www.macrotrends.net//stocks/industry/261/electrical-manufacturing-services-ems
Silver Miners,6,$0.011T,/stocks/industry/118/silver-miners,https://www.macrotrends.net//stocks/industry/118/silver-miners
