ticker,comp_name,full_url,mt_name,industry,country,link,url
ENBL,"Enable Midstream Partners, LP","https://www.macrotrends.net/stocks/charts/ENBL/enable-midstream-partners,-lp/","enable-midstream-partners,-lp",Oil & Gas - Production and Pipelines MLP,United States,"<a href='https://www.macrotrends.net/stocks/charts/ENBL/enable-midstream-partners,-lp/stock-price-history'>Enable Midstream Partners, LP (ENBL)</a>","https://www.macrotrends.net/stocks/charts/ENBL/enable-midstream-partners,-lp/"
DKL,Delek Logistics Partners,https://www.macrotrends.net/stocks/charts/DKL/delek-logistics-partners/,delek-logistics-partners,Oil & Gas - Production and Pipelines MLP,United States,<a href='https://www.macrotrends.net/stocks/charts/DKL/delek-logistics-partners/stock-price-history'>Delek Logistics Partners (DKL)</a>,https://www.macrotrends.net/stocks/charts/DKL/delek-logistics-partners/
CEQP,Crestwood Equity Partners LP,https://www.macrotrends.net/stocks/charts/CEQP/crestwood-equity-partners-lp/,crestwood-equity-partners-lp,Oil & Gas - Production and Pipelines MLP,United States,<a href='https://www.macrotrends.net/stocks/charts/CEQP/crestwood-equity-partners-lp/stock-price-history'>Crestwood Equity Partners LP (CEQP)</a>,https://www.macrotrends.net/stocks/charts/CEQP/crestwood-equity-partners-lp/
NS,NuStar Energy,https://www.macrotrends.net/stocks/charts/NS/nustar-energy/,nustar-energy,Oil & Gas - Production and Pipelines MLP,United States,<a href='https://www.macrotrends.net/stocks/charts/NS/nustar-energy/stock-price-history'>NuStar Energy (NS)</a>,https://www.macrotrends.net/stocks/charts/NS/nustar-energy/
BPMP,BP Midstream Partners LP,https://www.macrotrends.net/stocks/charts/BPMP/bp-midstream-partners-lp/,bp-midstream-partners-lp,Oil & Gas - Production and Pipelines MLP,United States,<a href='https://www.macrotrends.net/stocks/charts/BPMP/bp-midstream-partners-lp/stock-price-history'>BP Midstream Partners LP (BPMP)</a>,https://www.macrotrends.net/stocks/charts/BPMP/bp-midstream-partners-lp/
PBFX,PBF Logistics LP,https://www.macrotrends.net/stocks/charts/PBFX/pbf-logistics-lp/,pbf-logistics-lp,Oil & Gas - Production and Pipelines MLP,United States,<a href='https://www.macrotrends.net/stocks/charts/PBFX/pbf-logistics-lp/stock-price-history'>PBF Logistics LP (PBFX)</a>,https://www.macrotrends.net/stocks/charts/PBFX/pbf-logistics-lp/
SMLP,"Summit Midstream Partners, LP","https://www.macrotrends.net/stocks/charts/SMLP/summit-midstream-partners,-lp/","summit-midstream-partners,-lp",Oil & Gas - Production and Pipelines MLP,United States,"<a href='https://www.macrotrends.net/stocks/charts/SMLP/summit-midstream-partners,-lp/stock-price-history'>Summit Midstream Partners, LP (SMLP)</a>","https://www.macrotrends.net/stocks/charts/SMLP/summit-midstream-partners,-lp/"
HCA,HCA Healthcare,https://www.macrotrends.net/stocks/charts/HCA/hca-healthcare/,hca-healthcare,Medical - Hospitals,United States,<a href='https://www.macrotrends.net/stocks/charts/HCA/hca-healthcare/stock-price-history'>HCA Healthcare (HCA)</a>,https://www.macrotrends.net/stocks/charts/HCA/hca-healthcare/
UHS,Universal Health Services,https://www.macrotrends.net/stocks/charts/UHS/universal-health-services/,universal-health-services,Medical - Hospitals,United States,<a href='https://www.macrotrends.net/stocks/charts/UHS/universal-health-services/stock-price-history'>Universal Health Services (UHS)</a>,https://www.macrotrends.net/stocks/charts/UHS/universal-health-services/
THC,Tenet Healthcare,https://www.macrotrends.net/stocks/charts/THC/tenet-healthcare/,tenet-healthcare,Medical - Hospitals,United States,<a href='https://www.macrotrends.net/stocks/charts/THC/tenet-healthcare/stock-price-history'>Tenet Healthcare (THC)</a>,https://www.macrotrends.net/stocks/charts/THC/tenet-healthcare/
